"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000182580","EPHB3",18671.1787431942,9551,18482.4258711038,9580
"ENSG00000177383","MAGEF1",52510.6728982631,3194,52128.2892547692,3198
"ENSG00000272970","AC107294.2",3221.07541429098,15571,3216.76854629152,15552
"ENSG00000229433","LINC02069",77.3671291215169,25529,72.3738118889062,25420
"ENSG00000273403","AC107294.3",2419.66042288983,16327,2409.77027294206,16314
"ENSG00000272922","AC107294.1",2352.63552542023,16407,2340.45853927571,16392
"ENSG00000156931","VPS8",35845.386010304,5703,35725.3148315141,5681
"ENSG00000187068","C3orf70",30294.7863339368,6780,30173.5623494042,6773
"ENSG00000223358","EHHADH-AS1",41.213304128495,27094,37.0666988471458,26985
"ENSG00000113790","EHHADH",8046.13293509062,12857,8021.51359660733,12843
"ENSG00000073803","MAP3K13",47532.1258496279,3834,47525.0217621288,3796
"ENSG00000163900","TMEM41A",23197.2448406672,8411,23172.2050278565,8379
"ENSG00000286086","AC099661.1",633.134948147121,19940,619.600749276115,19943
"ENSG00000163898","LIPH",2115.94776206124,16714,2099.15745142872,16703
"ENSG00000163904","SENP2",44534.9224983843,4249,44466.0131485935,4217
"ENSG00000073792","IGF2BP2",1146.61930630601,18322,1132.1594694626,18310
"ENSG00000163915","IGF2BP2-AS1",22.0424684119954,28538.5,18.2320308768386,28798
"ENSG00000136527","TRA2B",58725.9275452264,2526,58478.4377173684,2511
"ENSG00000244405","ETV5",55217.8643629021,2864,54890.0158807976,2860
"ENSG00000234197","ETV5-AS1",0,32923.5,0,32923.5
"ENSG00000058866","DGKG",29307.7492213927,6976,29269.6768253115,6952
"ENSG00000234548","LINC02020",112.327040994881,24500,99.5605569733011,24605
"ENSG00000224406","LINC02052",0,32923.5,0,32923.5
"ENSG00000226859","LINC02051",0,32923.5,0,32923.5
"ENSG00000213139","CRYGS",7809.86565995667,12965,7749.59780569851,12965
"ENSG00000113838","TBCCD1",9061.3386432488,12493,9050.3892282003,12468
"ENSG00000090520","DNAJB11",32923.0998167386,6256,32832.9405318233,6230
"ENSG00000197099","AC068631.1",212.289772150062,22820,209.022878887306,22755
"ENSG00000145192","AHSG",1051.22452936878,18564,1045.69954064463,18538
"ENSG00000090512","FETUB",602.473883023513,20068,600.239321065233,20033
"ENSG00000113905","HRG",354.861248224025,21494,340.961482092877,21522
"ENSG00000113889","KNG1",3183.07775717389,15606,3158.06005720837,15597
"ENSG00000263826","AC112907.3",560.647307593447,20248,557.049911528401,20209
"ENSG00000156976","EIF4A2",126872.721382361,228,126311.282320697,200
"ENSG00000163918","RFC4",14121.3049500329,10895,14066.8700628428,10887
"ENSG00000231724","AC112907.1",42.7883006908494,26827,35.1674255728048,27227
"ENSG00000232233","LINC02043",3772.41642128546,15111,3756.69118238455,15094
"ENSG00000181092","ADIPOQ",57.8204788762025,26320,55.3487978852103,26054
"ENSG00000226482","ADIPOQ-AS1",24.5202504953688,27683.5,21.3243057972605,27602
"ENSG00000073849","ST6GAL1",38424.3368003548,5224,38305.904185021,5203
"ENSG00000163923","RPL39L",22489.8645071442,8604,22304.7771470821,8610
"ENSG00000198491","AC007920.1",0,32923.5,0,32923.5
"ENSG00000175077","RTP1",5766.34525187307,13885,5748.39552048253,13878
"ENSG00000127241","MASP1",12831.0174143061,11265,12686.3844452626,11283
"ENSG00000283175","AC007920.2",2210.84132134956,16602,2200.08334360553,16592
"ENSG00000136514","RTP4",2303.50820751604,16471,2296.45502985321,16455
"ENSG00000228952","LINC02041",0,32923.5,0,32923.5
"ENSG00000157005","SST",92273.413887427,782,89090.215398311,834
"ENSG00000198471","RTP2",0,32923.5,0,32923.5
"ENSG00000228804","AC072022.1",0,32923.5,0,32923.5
"ENSG00000113916","BCL6",46182.9218134369,4014,44030.64198485,4286
"ENSG00000285938","AC072022.2",248.032564375156,22431,241.298392282868,22400
"ENSG00000224049","AC108681.1",0,32923.5,0,32923.5
"ENSG00000236864","AC068295.1",0,32923.5,0,32923.5
"ENSG00000224187","LINC01991",0,32923.5,0,32923.5
"ENSG00000225058","AC092941.1",0,32923.5,0,32923.5
"ENSG00000236412","AC092941.2",0,32923.5,0,32923.5
"ENSG00000234238","AC022498.1",0,32923.5,0,32923.5
"ENSG00000270959","LPP-AS2",2504.88431165427,16244,2485.94758699289,16237
"ENSG00000145012","LPP",18919.0573971089,9472,18702.9059119497,9514
"ENSG00000224563","LPP-AS1",0,32923.5,0,32923.5
"ENSG00000234076","TPRG1-AS1",0,32923.5,0,32923.5
