"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000015676","NUDCD3",83840.675191209,1019,83297.4394420151,967
"ENSG00000196262","PPIA",133847.278816174,141,126404.517059873,132
"ENSG00000105968","H2AFV",80862.6151477159,1122,79536.6940959303,1110
"ENSG00000136280","CCM2",69632.4271737597,1661,68907.7994215325,1628
"ENSG00000164742","ADCY1",94733.9113730867,679,92731.4920485694,678
"ENSG00000170419","VSTM2A",68819.9432157518,1712,67652.8388800364,1695
"ENSG00000132432","SEC61G",85793.5718158673,941,80800.8748797427,1060
"ENSG00000154978","VOPP1",61890.3723708925,2022,61362.6237514776,1998
"ENSG00000146731","CCT6A",67424.4612201109,1770,67128.0298482482,1727
"ENSG00000106153","CHCHD2",115899.604051407,326,112334.187829687,311
"ENSG00000106609","TMEM248",69791.3377631285,1648,69096.7638099979,1615
"ENSG00000185274","GALNT17",73952.0310868088,1424,73634.0248424886,1375
"ENSG00000106089","STX1A",94883.2357091851,674,93081.8472216861,665
"ENSG00000106683","LIMK1",66222.053915578,1836,65251.0861620065,1823
"ENSG00000106682","EIF4H",95983.8721251913,653,95590.4927091116,611
"ENSG00000005486","RHBDD2",110720.900492992,385,108034.92725463,370
"ENSG00000146701","MDH2",90657.8796220034,787,89171.6183866228,779
"ENSG00000170027","YWHAG",133792.392582394,143,130769.710096775,105
"ENSG00000153956","CACNA2D1",58340.9869013269,2088,56266.0420191123,2085
"ENSG00000186472","PCLO",69573.5342714222,1666,68118.5249164143,1676
"ENSG00000198822","GRM3",64373.318338274,1919,62865.2890144367,1935
"ENSG00000008277","ADAM22",61730.2593940045,2029,60951.9419882143,2012
"ENSG00000075142","SRI",87570.5477334593,875,86133.9056665017,862
"ENSG00000058091","CDK14",72835.4160974157,1484,72099.6186684261,1464
"ENSG00000242265","PEG10",63043.5904693583,1979,62225.3889442936,1963
"ENSG00000158560","DYNC1I1",79237.4699705533,1178,78463.0950955917,1155
"ENSG00000106236","NPTX2",71435.7224546371,1560,64138.2626572771,1881
"ENSG00000166448","TMEM130",108248.630470679,421,105582.540984735,404
"ENSG00000241685","ARPC1A",72712.8099138672,1496,72504.1289409937,1437
"ENSG00000241468","ATP5MF",123197.662521387,230,113549.229069636,293
"ENSG00000168090","COPS6",71614.6122903815,1548,71135.2455521743,1507
"ENSG00000166925","TSC22D4",118602.134398119,297,110076.335913552,341
"ENSG00000106367","AP1S1",80274.2915550423,1141,79096.8253813531,1126
"ENSG00000128564","VGF",102809.629994177,518,93618.1894739984,648
"ENSG00000135250","SRPK2",76087.8521072547,1332,75208.7158195887,1299
"ENSG00000005249","PRKAR2B",65058.8575640947,1887,64505.4173940416,1859
"ENSG00000075790","BCAP29",64994.8231608165,1888,64574.4048135308,1855
"ENSG00000091129","NRCAM",104207.173813028,490,102600.17748054,462
"ENSG00000198898","CAPZA2",77009.9581427865,1289,75883.096089538,1273
"ENSG00000196937","FAM3C",82834.1155273569,1054,80524.5473830806,1072
"ENSG00000128609","NDUFA5",98513.7820181253,610,97534.1085851332,564
"ENSG00000106299","WASL",72980.2011341876,1476,72250.8801594722,1457
"ENSG00000004059","ARF5",73119.559680754,1466,69272.4039676641,1605
"ENSG00000286214","AUXG01000058.1",85966.0961050836,933,84563.8096934615,908
"ENSG00000085662","AKR1B1",72500.8774174113,1505,72067.9436458197,1466
"ENSG00000105887","MTPN",93975.558975393,701,91439.229280246,714
"ENSG00000236279","CLEC2L",60901.5015098884,2049,58559.4151582531,2061
"ENSG00000064393","HIPK2",83514.1504867128,1027,79692.4182664105,1103
"ENSG00000090266","NDUFB2",119173.006325614,288,110108.228076093,340
