"gene","gene_name","dev_default","rank_default","dev_brain","rank_brain"
"ENSG00000125851","PCSK2",12253.9685758854,1746,11939.0786501987,1795
"ENSG00000125868","DSTN",20409.4364454791,338,19120.2666605599,400
"ENSG00000173418","NAA20",10056.6912130446,2076,10006.7635031337,2069
"ENSG00000125814","NAPB",21242.389240898,267,20509.2742011594,283
"ENSG00000101439","CST3",63132.6858218689,12,44500.0336216939,14
"ENSG00000101474","APMAP",12859.4567202379,1569,12828.1115040917,1542
"ENSG00000100997","ABHD12",13408.4793494341,1424,13340.6522808734,1391
"ENSG00000101350","KIF3B",11442.4367855966,1925,11387.1329882167,1918
"ENSG00000101421","CHMP4B",13977.2448678446,1271,13912.1177862418,1245
"ENSG00000125971","DYNLRB1",17587.7287093904,615,17365.621574525,596
"ENSG00000078804","TP53INP2",12498.3451009685,1677,12314.7803930752,1689
"ENSG00000171222","SCAND1",13790.9886071025,1318,13762.121274063,1272
"ENSG00000260032","NORAD",21684.7127285404,247,21246.8773381271,223
"ENSG00000088367","EPB41L1",15091.8358195806,1021,15079.384724544,968
"ENSG00000101079","NDRG3",14718.0212614567,1099,14499.6043812646,1103
"ENSG00000166619","BLCAP",16608.6067523089,765,16552.5221841807,725
"ENSG00000053438","NNAT",14029.7144858088,1260,13757.0344123873,1275
"ENSG00000132821","VSTM2L",13926.9415717691,1283,13887.5277999206,1249
"ENSG00000132824","SERINC3",17410.1583948178,643,17349.2799644899,601
"ENSG00000166913","YWHAB",21797.0389324809,240,21037.7275246296,235
"ENSG00000244274","DBNDD2",42486.5284396823,25,36452.122793105,19
"ENSG00000124140","SLC12A5",17406.6379385813,645,17052.4224528659,638
"ENSG00000124126","PREX1",13306.1235239912,1444,12585.3526603805,1618
"ENSG00000158445","KCNB1",11760.3909674602,1860,11745.2095044449,1839
"ENSG00000054793","ATP9A",16717.1073996502,750,16670.1721070055,705
"ENSG00000064787","BCAS1",19603.1809051949,408,19152.9570470153,398
"ENSG00000087460","GNAS",27244.6472599509,80,26822.7989558788,58
"ENSG00000124172","ATP5F1E",23145.6555242175,161,21397.1481289877,215
"ENSG00000196227","FAM217B",11821.704878358,1846,11727.6758870183,1844
"ENSG00000101182","PSMA7",15017.885927953,1037,14712.7261285029,1046
"ENSG00000075043","KCNQ2",13271.6357740799,1458,13267.9221653746,1409
"ENSG00000101210","EEF1A2",22667.6465909546,181,22547.1312309972,147
"ENSG00000125534","PPDPF",16262.5727410692,818,16021.9140783582,802
"ENSG00000197457","STMN3",19539.8655945716,413,19498.668997535,368
"ENSG00000101152","DNAJC5",14556.679369419,1145,14519.0659313516,1095
"ENSG00000171703","TCEA2",15017.3783006859,1038,15009.1543418742,986
"ENSG00000154654","NCAM2",13028.9476107604,1524,12870.5874439925,1523
"ENSG00000154723","ATP5PF",19304.6690390277,436,18351.9130404495,474
"ENSG00000142192","APP",21300.2447654607,263,21125.7913263089,232
"ENSG00000156261","CCT8",12282.9836416618,1736,12249.7147029498,1712
"ENSG00000142168","SOD1",21616.5790277555,251,20563.1223255908,278
"ENSG00000159082","SYNJ1",14991.8738889107,1042,14762.7178479115,1034
"ENSG00000184221","OLIG1",18475.0786202545,510,17435.8335491081,583
"ENSG00000241837","ATP5PO",18672.6156794822,491,18002.7385426508,518
"ENSG00000159228","CBR1",16479.456181779,784,15917.8395569922,820
"ENSG00000182670","TTC3",17427.2698961732,642,17262.958116062,612
"ENSG00000157557","ETS2",12874.295660335,1568,12860.6324991867,1525
"ENSG00000182093","GET1",12842.2719170991,1580,12797.2562769865,1556
"ENSG00000183036","PCP4",15986.2680404141,858,14205.1187214392,1163
"ENSG00000160209","PDXK",16567.122265277,769,16279.5455159551,762
"ENSG00000184900","SUMO3",14618.3887246867,1126,14489.6566981138,1106
"ENSG00000160307","S100B",33890.0304049732,36,30965.1203027568,30
"ENSG00000131100","ATP6V1E1",19029.298291313,462,18601.1040687602,454
"ENSG00000184702","SEPTIN5",14795.4835301365,1081,14478.8131488225,1108
"ENSG00000099901","RANBP1",11459.4990058323,1920,11429.2283352934,1907
"ENSG00000040608","RTN4R",11318.8443433195,1952,11257.92965798,1939
"ENSG00000241973","PI4KA",19763.1925330235,399,18770.3503583817,435
"ENSG00000185651","UBE2L3",13829.0798548571,1307,13705.7239921133,1294
"ENSG00000100030","MAPK1",19268.2914398187,441,19116.6195796255,401
"ENSG00000250479","CHCHD10",19304.5970248114,437,19268.3464847263,389
"ENSG00000240972","MIF",22091.1525900798,216,21706.1596273432,195
"ENSG00000100095","SEZ6L",14483.6722108563,1164,14383.132277338,1132
"ENSG00000225465","RFPL1S",11492.8632945261,1916,11283.6639549875,1933
"ENSG00000100285","NEFH",12575.3187437186,1650,11940.2193540921,1794
"ENSG00000184076","UQCR10",20487.5455113034,331,19884.0541762998,331
"ENSG00000198832","SELENOM",17732.6999178868,603,17539.8669699816,577
"ENSG00000128245","YWHAH",29305.2062342101,61,26337.022798639,64
"ENSG00000100362","PVALB",9424.66747087084,2093,8541.30582055277,2094
"ENSG00000241360","PDXP",17028.3725226299,701,16961.8422990221,661
"ENSG00000100097","LGALS1",20856.1302091473,301,20706.9716590239,258
"ENSG00000168135","KCNJ4",10046.9421188683,2077,9999.14291523158,2070
"ENSG00000100242","SUN2",16652.3625948187,761,15221.4301679842,935
"ENSG00000221890","NPTXR",19108.2998567824,453,18854.9266732014,427
"ENSG00000100316","RPL3",21817.444498588,239,21736.6206643232,189
"ENSG00000100321","SYNGR1",15468.2123879602,946,15451.9823117568,900
"ENSG00000100387","RBX1",16689.6343414241,755,16497.0865119527,732
"ENSG00000100412","ACO2",17248.8064555133,665,16918.7632575903,671
"ENSG00000196419","XRCC6",14641.237401319,1113,14625.0883169382,1066
"ENSG00000100138","SNU13",16979.0373848984,711,16911.9645354728,673
"ENSG00000198911","SREBF2",14878.0719900054,1064,14783.6498374157,1030
"ENSG00000100167","SEPTIN3",18577.5840887802,500,18528.0630114681,460
"ENSG00000186732","MPPED1",13203.0994530234,1477,13136.6397796037,1449
"ENSG00000130540","SULT4A1",16858.1391133014,726,16745.592066484,695
"ENSG00000100364","KIAA0930",15699.7938234129,912,14782.1916296269,1031
"ENSG00000130638","ATXN10",15228.113543072,987,15001.6941205809,988
"ENSG00000100427","MLC1",14636.0420197971,1117,13733.7615524964,1285
"ENSG00000008735","MAPK8IP2",17802.6988679218,596,17700.7723577194,557
"ENSG00000169100","SLC25A6",18480.0959931826,509,18413.9874883304,469
"ENSG00000073464","CLCN4",11773.7133708556,1855,11699.1884875009,1850
"ENSG00000205542","TMSB4X",28646.5408132178,69,26866.4511334168,57
