"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000015592","STMN4",100019.349637059,567,98939.7341880832,567
"ENSG00000085788","DDHD2",60322.2515442356,2064,59964.6696412993,2060
"ENSG00000221869","CEBPD",63241.8517754877,1968,61865.3975151684,2003
"ENSG00000008988","RPS20",107306.101440327,436,104699.220557752,450
"ENSG00000169085","VXN",83937.9065467907,1013,83820.8022719699,994
"ENSG00000147604","RPL7",113423.610572136,358,112900.102757591,343
"ENSG00000147588","PMP2",83842.1573803227,1017,80145.0618596148,1122
"ENSG00000070756","PABPC1",80471.8720290111,1131,79200.6500613588,1155
"ENSG00000153707","PTPRD",68778.9722726022,1713,68042.8728400018,1713
"ENSG00000164985","PSIP1",76982.060402047,1290,76637.5589488828,1275
"ENSG00000198853","RUSC2",67410.3963462586,1771,67225.6628087395,1752
"ENSG00000175768","TOMM5",70701.592065377,1605,69813.9859302283,1621
"ENSG00000107372","ZFAND5",99525.5740776614,581,98187.4557845378,590
"ENSG00000165119","HNRNPK",103425.802410817,506,102858.072888661,494
"ENSG00000165238","WNK2",62796.5076762441,1988,62677.1478753666,1972
"ENSG00000136888","ATP6V1G1",79577.2932763655,1166,79540.1458733941,1147
"ENSG00000136930","PSMB7",81973.196370185,1084,81791.2461746134,1061
"ENSG00000136942","RPL35",124793.07798532,218,122402.133746566,213
"ENSG00000044574","HSPA5",83788.1378146287,1021,83048.5394822421,1017
"ENSG00000160408","ST6GALNAC6",72932.1954539767,1479,72774.8563887918,1457
"ENSG00000148341","SH3GLB2",90017.2058862321,801,89855.7514753578,789
"ENSG00000148303","RPL7A",127289.337087511,190,124449.179788995,195
"ENSG00000107223","EDF1",106826.256586818,446,105273.549018419,440
"ENSG00000159069","FBXW5",71400.9972155428,1564,71152.7976564828,1546
"ENSG00000176101","SSNA1",70026.8803805354,1637,68636.4352184458,1687
"ENSG00000182154","MRPL41",93902.1960846701,704,92374.5838820599,720
"ENSG00000067064","IDI1",79557.3695713648,1167,79307.1885437826,1153
"ENSG00000148468","FAM171A1",70809.0446277039,1594,70528.5935449626,1579
"ENSG00000107863","ARHGAP21",84005.723941982,1010,82186.786525384,1048
"ENSG00000099246","RAB18",69636.2917526176,1660,69138.2730891327,1654
"ENSG00000096746","HNRNPH3",66324.5215822881,1830,65782.5383894418,1832
"ENSG00000138326","RPS24",142161.405561843,101,138946.041759665,89
"ENSG00000108175","ZMIZ1",61019.3213892389,2046,60712.1196978479,2041
"ENSG00000138107","ACTR1A",77443.6625471368,1265,77308.8225478794,1247
"ENSG00000148834","GSTO1",77988.1690567317,1241,77889.6167286799,1219
"ENSG00000148700","ADD3",71708.4823940243,1546,69976.9226345919,1612
"ENSG00000107679","PLEKHA1",71240.8106485141,1576,70624.1034190312,1573
"ENSG00000188690","UROS",75109.2407710188,1373,74529.8924357233,1373
"ENSG00000127884","ECHS1",77108.0434624443,1281,76972.2947462902,1258
"ENSG00000142089","IFITM3",113226.559945669,362,111015.274300575,362
"ENSG00000174775","HRAS",73916.5625996079,1427,73363.2652071861,1423
"ENSG00000177030","DEAF1",76129.0149769648,1330,75675.0334529541,1325
"ENSG00000177156","TALDO1",68020.4737925378,1738,67938.6228814045,1718
"ENSG00000177600","RPLP2",130402.716685811,166,128322.369584267,154
"ENSG00000110651","CD81",122434.534242194,237,122206.64930085,218
"ENSG00000166441","RPL27A",109904.694940292,392,108202.359619695,400
"ENSG00000110696","C11orf58",74191.7096789493,1412,73948.7432620978,1393
"ENSG00000110700","RPS13",133239.556470994,149,130657.485946192,133
"ENSG00000085063","CD59",94658.5546254747,683,94123.0819266922,667
"ENSG00000121671","CRY2",66504.5780193059,1823,65963.2707096105,1822
"ENSG00000121653","MAPK8IP1",89858.36438583,804,89699.8263454848,794
"ENSG00000110514","MADD",85588.7852293333,949,84640.1163602712,957
"ENSG00000254772","EEF1G",99581.5846964689,580,99364.1396997728,560
"ENSG00000173113","TRMT112",78549.7703847938,1216,78330.8083755548,1199
"ENSG00000110076","NRXN2",87235.2712477897,887,86475.875801147,883
"ENSG00000149806","FAU",141289.282484767,105,132999.01755208,118
